manudir,manudir-href,City,High,Low
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Warsaw, Poland","6","1"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Saint Petersburg, Russia","15","8"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Reykjavík, Iceland","3","-2"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","San Marino, San Marino","26","15"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Saint Petersburg, Russia","-4","-10"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Stockholm, Sweden","15","9"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Samara, Russia","24","14"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Zurich, Switzerland","5","-3"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Saint Petersburg, Russia","20","13"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Valletta, Malta","20","14"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Volgograd, Russia","23","12"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Ufa, Russia","24","11"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Vaduz, Liechtenstein","24","14"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Zurich, Switzerland","19","7"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Skopje, Macedonia","18","7"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Tirana, Albania","12","2"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Vilnius, Lithuania","16","8"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Tallinn, Estonia","8","0"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Zagreb, Croatia","7","-2"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Saint Petersburg, Russia","16","7"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Volgograd, Russia","15","5"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Sarajevo, Bosnia & Herzegovina","10","2"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Warsaw, Poland","12","4"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Zurich, Switzerland","14","5"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Rostov-on-Don, Russia","27","16"
